,brain,blood,breast,colon,kidney,liver,lung,ovary,pancreas,stomach,throat
brain,1.0,0.010397507243621125,0.11950660887741058,-0.011855125548051904,0.30550369216352463,0.09941061595428805,0.14405366855328267,0.11047268771560476,0.055137530986651966,0.023680738745575528,0.033413316865248045
blood,0.010397507243621125,1.0,0.6204803404804632,0.46563223806760634,0.4582729475457165,0.5627939202842545,0.624909110817131,0.5491496425037883,0.47651958975070696,0.5329194887083165,0.47870146570964933
breast,0.11950660887741058,0.6204803404804632,1.0,0.4735653664438294,0.5162171063290939,0.5802814212414553,0.6586472743870582,0.6019578473007872,0.5108772268774215,0.5461462486172748,0.5587070857383855
colon,-0.011855125548051904,0.46563223806760634,0.4735653664438294,1.0,0.4501783674481361,0.46484820589833664,0.46293628611230886,0.4726202920042901,0.5635298558664348,0.6365429887226709,0.5366849591404962
kidney,0.30550369216352463,0.4582729475457165,0.5162171063290939,0.4501783674481361,1.0,0.5692740983093487,0.4346192233691053,0.35574680011557425,0.5098408689867598,0.5021630193604757,0.3955063823872589
liver,0.09941061595428805,0.5627939202842545,0.5802814212414553,0.46484820589833664,0.5692740983093487,1.0,0.5081192825643389,0.579720066934423,0.444059052181153,0.5693748642799592,0.4380209605955897
lung,0.14405366855328267,0.624909110817131,0.6586472743870582,0.46293628611230886,0.4346192233691053,0.5081192825643389,1.0,0.6388091077050975,0.5301950591032256,0.5382974302199217,0.5870652756767132
ovary,0.11047268771560476,0.5491496425037883,0.6019578473007872,0.4726202920042901,0.35574680011557425,0.579720066934423,0.6388091077050975,1.0,0.3906822262271785,0.41977711210113977,0.5188537309208356
pancreas,0.055137530986651966,0.47651958975070696,0.5108772268774215,0.5635298558664348,0.5098408689867598,0.444059052181153,0.5301950591032256,0.3906822262271785,1.0,0.6248814707227421,0.5133479421174172
stomach,0.023680738745575528,0.5329194887083165,0.5461462486172748,0.6365429887226709,0.5021630193604757,0.5693748642799592,0.5382974302199217,0.41977711210113977,0.6248814707227421,1.0,0.5328908108371554
throat,0.033413316865248045,0.47870146570964933,0.5587070857383855,0.5366849591404962,0.3955063823872589,0.4380209605955897,0.5870652756767132,0.5188537309208356,0.5133479421174172,0.5328908108371554,1.0
